route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,81,IC,,,102,,,
10,81,S 9,,,109,,,
11,81,REX 9,,,106,,,
12,81,S 5,,,109,,,
13,81,REX 5,,,106,,,
14,81,S 2,,,109,,,
15,81,REX 2,,,106,,,
16,81,S 8,,,109,,,
17,81,R 8,,,106,,,
18,81,CJX,,,106,,,
19,81,S 50,,,109,,,
2,81,RJX,,,101,,,
20,81,S 45,,,109,,,
21,81,S 1,,,109,,,
22,81,S 40,,,109,,,
23,81,S 4,,,109,,,
24,81,R 4,,,106,,,
25,81,R 3,,,106,,,
26,81,S 7,,,109,,,
27,81,R 7,,,106,,,
28,81,R 1,,,106,,,
29,81,S 80,,,109,,,
3,81,REX,,,106,,,
30,81,S 60,,,109,,,
31,81,R 2,,,106,,,
32,81,REX 1,,,106,,,
33,81,EN,,,103,,,
34,81,S 51,,,109,,,
35,81,REX 8,,,106,,,
36,81,S 41,,,109,,,
37,81,S 6,,,109,,,
38,81,REX 4,,,106,,,
39,81,REX 3,,,106,,,
4,81,RJ,,,101,,,
40,810003,S 4,,,109,,,
41,810026,CAT,,,103,,,
42,81,ASTB,,,103,,,
43,81,ICE,,,101,,,
44,81,RB,,,106,,,
45,81,EC,,,102,,,
46,81,Sp,,,106,,,
47,81,Os,,,106,,,
48,81,Os 3,,,106,,,
49,81,S 21,,,109,,,
5,81,NJ,,,103,,,
50,81,EN -,,,103,,,
51,81,ER,,,106,,,
52,81,REX 6,,,106,,,
6,81,R,,,106,,,
7,81,D,,,103,,,
8,81,S 3,,,109,,,
9,81,EC,,,102,,,
