stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code
5100009,,Gdansk Glowny,,54.3555200,18.6438030,,,0,,
5100010,,Gdynia Glowna,,54.5208400,18.5295560,,,0,,
5100066,,Warszawa Wschodnia,,52.2515480,21.0523350,,,0,,
5300007,,Bucuresti Nord Gara A,,44.4467700,26.0744120,,,0,,
5400014,,Praha hl.n.,,50.0830620,14.4360390,,,0,,
5400018,,Ceske Velenice,,48.7693270,14.9576270,,,0,,
5400038,,Bohumin,,49.9007310,18.3594440,,,0,,
5400060,,Horni Dvoriste,,48.6018150,14.4219750,,,0,,
5400121,,Znojmo,,48.8525990,16.0588150,,,0,,
5400202,,Breclav,,48.7539000,16.8932360,,,0,,
5400228,,Satov,,48.7805350,16.0259850,,,0,,
5500003,,Budapest-Keleti,,47.5003830,19.0850710,,,0,,
5500017,,Hegyeshalom,,47.9135060,17.1470200,,,0,,
5500028,,Szombathely,,47.2375280,16.6327490,,,0,,
5500029,,Szentgotthárd,,46.9574100,16.2642400,,,0,,
5500032,,Fertöszentmiklos,,47.6000780,16.8607700,,,0,,
5500058,,Debrecen,,47.5196290,21.6287890,,,0,,
5500080,,Györ,,47.6819820,17.6347910,,,0,,
5501494,,Sopron,,47.6779040,16.5867300,,,0,,
5600207,,Bratislava hl.st.,,48.1589100,17.1064660,,,0,,
5600582,,Bratislava-Petrzalka,,48.1206790,17.1004480,,,0,,
7800020,,Zagreb Glavni kolodvor,,45.8044381,15.9787052,,,0,,
7900001,,Jesenice(SL),,46.4363246,14.0549133,,,0,,
7900003,,Ljubljana,,46.0586910,14.5129370,,,0,,
7900006,,Maribor,,46.5620650,15.6580110,,,0,,
8000072,,Simbach/Inn,,48.2626270,13.0227179,,,0,,
8000080,,Dortmund Hbf,,51.5178960,7.45929000,,,0,,
8000085,,Düsseldorf Hbf,,51.2199620,6.79431900,,,0,,
8000105,,Frankfurt(Main)Hbf,,50.1071450,8.66378900,,,0,,
8000108,,Freilassing (Oberbayern),,47.8369160,12.9771930,,,0,,
8000170,,Ulm Hbf,,48.3994370,9.98222700,,,0,,
8000191,,Karlsruhe Hbf,,48.9935150,8.40218100,,,0,,
8000197,,Kempten(Allgäu)Hbf,,47.7117450,10.3176100,,,0,,
8000207,,Köln Hbf,,50.9430300,6.95872900,,,0,,
8000230,,Lindau (Bodensee) Hbf,,47.5443410,9.68046900,,,0,,
8000261,,München Hbf,,48.1402320,11.5583350,,,0,,
8000263,,Münster(Westf)Hbf,,51.9565660,7.63571500,,,0,,
8000298,,Passau Hbf,,48.5736320,13.4507760,,,0,,
8000320,,Rosenheim in Bayern,,47.8500180,12.1192020,,,0,,
8000323,,Saarbrücken Hbf,,49.2410650,6.99102100,,,0,,
8001880,,Eschenlohe,,47.6017450,11.1879450,,,0,,
8002187,,Garmisch-Partenkirchen,,47.4914520,11.0970130,,,0,,
8002549,,Hamburg Hbf,,53.5527360,10.0069090,,,0,,
8002553,,Hamburg-Altona,,53.5526950,9.93517500,,,0,,
8003024,,Huglfing,,47.7767360,11.1405520,,,0,,
8004043,,Mittenwald,,47.4400300,11.2657050,,,0,,
8004158,,München-Pasing,,48.1498520,11.4618720,,,0,,
8004506,,Oberau,,47.5592730,11.1392720,,,0,,
8004662,,Ohlstadt,,47.6340910,11.2180660,,,0,,
8005927,,Tutzing,,47.9071420,11.2728900,,,0,,
8005948,,Uffing a Staffelsee,,47.7201500,11.1589540,,,0,,
8098262,,München Hbf Gl.5-10,,48.1400940,11.5553710,,,0,,
8100001,,Kufstein Bahnhof,,47.5830340,12.1657030,,,0,,
8100002,,Salzburg Hbf,,47.8128220,13.0455590,,,0,,
8100003,,Wien Westbahnhof,,48.1967530,16.3372550,,,0,,
8100004,,Wien Hbf (Autoreisezuganlage),,48.1778730,16.3910020,,,0,,
8100005,,Melk Bahnhof,,48.2246480,15.3309710,,,0,,
8100006,,Pöchlarn Bahnhof,,48.2080740,15.2166020,,,0,,
8100007,,Ybbs/Donau Bahnhof,,48.1589030,15.0997070,,,0,,
8100008,,St.Pölten Hbf,,48.2083320,15.6238040,,,0,,
8100009,,St.Valentin Bahnhof,,48.1790280,14.5217610,,,0,,
8100010,,Steyr Bahnhof,,48.0382010,14.4231640,,,0,,
8100011,,Enns Bahnhof,,48.2212090,14.4667440,,,0,,
8100012,,Amstetten NÖ Bahnhof,,48.1215290,14.8782570,,,0,,
8100013,,Linz/Donau Hbf,,48.2901480,14.2918130,,,0,,
8100014,,Wels Hbf,,48.1660540,14.0264910,,,0,,
8100015,,Lambach Bahnhof,,48.0940050,13.8884640,,,0,,
8100016,,Schwanenstadt Bahnhof,,48.0540900,13.7680950,,,0,,
8100017,,Attnang-Puchheim Bahnhof,,48.0121880,13.7203860,,,0,,
8100018,,Frankenmarkt Bahnhof,,47.9831040,13.4326150,,,0,,
8100019,,Straßwalchen Bahnhof,,47.9720850,13.2644750,,,0,,
8100020,,Steindorf b.Straßwalchen Bahnhof,,47.9667270,13.2390680,,,0,,
8100021,,Bad Schallerbach-Wallern Bahnhof,,48.2287010,13.9222840,,,0,,
8100022,,Grieskirchen-Gallspach Bahnhof,,48.2310500,13.8389470,,,0,,
8100023,,Neumarkt-Kallham Bahnhof,,48.2714280,13.7246530,,,0,,
8100024,,Schärding Bahnhof,,48.4634560,13.4425680,,,0,,
8100025,,Baden b.Wien Bahnhof,,48.0040530,16.2427770,,,0,,
8100026,,Gloggnitz Bahnhof,,47.6776940,15.9459060,,,0,,
8100027,,Payerbach-Reichenau Bahnhof,,47.6960500,15.8630120,,,0,,
8100028,,Semmering Bahnhof,,47.6397040,15.8310280,,,0,,
8100029,,Mürzzuschlag Bahnhof,,47.6078740,15.6770040,,,0,,
8100030,,Kindberg Bahnhof,,47.5011460,15.4483390,,,0,,
8100031,,Kapfenberg Bahnhof,,47.4451950,15.2920890,,,0,,
8100032,,Bruck/Mur Bahnhof,,47.4136490,15.2794950,,,0,,
8100033,,Frohnleiten Bahnhof,,47.2663810,15.3271110,,,0,,
8100034,,Peggau-Deutschfeistritz Bahnhof,,47.2072370,15.3432580,,,0,,
8100035,,Leibnitz Bahnhof,,46.7812210,15.5468510,,,0,,
8100036,,Sattendorf Bahnhof,,46.6628290,13.9164600,,,0,,
8100037,,Ossiach-Bodensdorf Bahnhof,,46.6825860,13.9742350,,,0,,
8100038,,Steindorf/Ossiacher See Bahnhof,,46.6981960,14.0140970,,,0,,
8100039,,Feldkirchen in Ktn Bahnhof,,46.7215110,14.0989960,,,0,,
