route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
1,000001,1,Bischofshofen Bahnhof,IC 1010,,1,,1
1,000001,2,Wien Hbf,IC 1011,,2,,1
2,000000,3,Saalfelden Bahnhof,RJX 1012,,3,,1
3,000000,4,Saalfelden Bahnhof,REX 1012,,3,,1
4,000000,5,Wien Hbf,RJ 1040,,4,,1
4,000000,6,Flughafen Wien Bahnhof,RJ 1041,,5,,1
4,000000,7,Wien Hbf,RJ 1042,,6,,1
4,000000,8,Flughafen Wien Bahnhof,RJ 1043,,7,,1
4,000000,9,Wien Hbf,RJ 1044,,8,,1
4,000000,10,Wien Hbf,RJ 1046,,9,,1
1,000002,11,Bregenz Bahnhof,IC 118,,10,,1
1,000002,12,Innsbruck Hbf,IC 119,,11,,1
5,000003,13,Wien Hbf (Autoreisezuganlage),NJ 1234,,12,,1
4,000004,14,Graz Hbf,RJ 1255,,13,,1
2,000005,15,Wörgl Hbf,RJX 1260,,14,,1
2,000006,16,Wörgl Hbf,RJX 1260,,14,,1
2,000007,17,Wien Hbf,RJX 1261,,15,,1
2,000008,18,Wörgl Hbf,RJX 1262,,16,,1
2,000009,19,Wörgl Hbf,RJX 1262,,16,,1
2,000010,20,Wörgl Hbf,RJX 1264,,17,,1
2,000007,21,Wörgl Hbf,RJX 1264,,17,,1
2,000009,22,Flughafen Wien Bahnhof,RJX 1265,,18,,1
2,000011,23,Flughafen Wien Bahnhof,RJX 1265,,19,,1
2,000012,24,Flughafen Wien Bahnhof,RJX 1265,,20,,1
4,000013,25,Wien Hbf,RJ 1267,,21,,1
4,000014,26,Wien Hbf,RJ 1267,,22,,1
4,000000,27,Wien Hbf,RJ 130,,23,,1
4,000000,28,Venezia Santa Lucia,RJ 131,,24,,1
4,000000,29,Wien Hbf,RJ 132,,25,,1
4,000000,30,Venezia Santa Lucia,RJ 133,,26,,1
6,000015,31,Schwarzenau im Waldviertel Bahnhof,R 14016,,27,,1
6,000015,32,Vitis Bahnhof,R 14017,,28,,1
7,000016,33,Wien Hbf,D 14039,,29,,1
7,000017,34,Wien Hbf,D 14048,,30,,1
7,000017,35,Wien Hbf,D 14050,,31,,1
7,000018,36,Schladming Bahnhof,D 14064,,32,,1
7,000018,37,Graz Hbf,D 14066,,33,,1
3,000020,38,Innsbruck Hbf,REX 1500,,34,,1
3,000000,39,Wörgl Hbf,REX 1502,,35,,1
3,000021,40,Salzburg Hbf,REX 1503,,36,,1
3,000022,41,Salzburg Hbf,REX 1503,,37,,1
3,000000,42,Wörgl Hbf,REX 1504,,38,,1
3,000020,43,Wörgl Hbf,REX 1504,,38,,1
3,000000,44,Schwarzach-St.Veit Bahnhof,REX 1505,,39,,1
7,000023,45,Wr.Neustadt Hbf,D 15057,,40,,1
3,000000,46,Wörgl Hbf,REX 1506,,41,,1
3,000022,47,Salzburg Hbf,REX 1507,,42,,1
3,000021,48,Salzburg Hbf,REX 1507,,43,,1
7,000023,49,Wien Hbf,D 15070,,44,,1
7,000023,50,Wr.Neustadt Hbf,D 15075,,45,,1
7,000023,51,Wien Hbf,D 15078,,46,,1
3,000000,52,Wörgl Hbf,REX 1508,,47,,1
3,000020,53,Wörgl Hbf,REX 1508,,47,,1
3,000000,54,Wörgl Hbf,REX 1510,,48,,1
3,000004,55,Salzburg Hbf,REX 1511,,49,,1
3,000000,56,Wörgl Hbf,REX 1512,,50,,1
3,000020,57,Wörgl Hbf,REX 1512,,50,,1
3,000000,58,Schwarzach-St.Veit Bahnhof,REX 1513,,51,,1
3,000020,59,Salzburg Hbf,REX 1515,,52,,1
3,000004,60,Salzburg Hbf,REX 1515,,53,,1
3,000000,61,Wörgl Hbf,REX 1516,,54,,1
3,000020,62,Wörgl Hbf,REX 1516,,54,,1
7,000025,63,Wörgl Hbf,D 15167,,55,,1
3,000000,64,Wörgl Hbf,REX 1518,,56,,1
3,000004,65,Straßwalchen Bahnhof,REX 1519,,57,,1
6,000026,66,Straßwalchen Bahnhof,R 1519,,57,,1
3,000020,67,Straßwalchen Bahnhof,REX 1519,,58,,1
6,000020,68,Straßwalchen Bahnhof,R 1519,,58,,1
3,000000,69,Wörgl Hbf,REX 1520,,59,,1
3,000020,70,Wörgl Hbf,REX 1520,,59,,1
3,000000,71,Schwarzach-St.Veit Bahnhof,REX 1521,,60,,1
3,000004,72,Straßwalchen Bahnhof,REX 1523,,61,,1
6,000026,73,Straßwalchen Bahnhof,R 1523,,61,,1
3,000020,74,Straßwalchen Bahnhof,REX 1523,,62,,1
6,000020,75,Straßwalchen Bahnhof,R 1523,,62,,1
3,000000,76,Wörgl Hbf,REX 1524,,63,,1
3,000020,77,Wörgl Hbf,REX 1524,,63,,1
3,000020,78,Schwarzach-St.Veit Bahnhof,REX 1525,,64,,1
3,000004,79,Schwarzach-St.Veit Bahnhof,REX 1525,,65,,1
3,000000,80,Wörgl Hbf,REX 1526,,66,,1
3,000024,81,Wörgl Hbf,REX 1526,,66,,1
3,000020,82,Salzburg Hbf,REX 1527,,67,,1
3,000004,83,Salzburg Hbf,REX 1527,,68,,1
3,000000,84,Wörgl Hbf,REX 1528,,69,,1
3,000000,85,Schwarzach-St.Veit Bahnhof,REX 1529,,70,,1
3,000020,86,Hochfilzen Bahnhof,REX 1533,,71,,1
3,000029,87,Wörgl Hbf,REX 1534,,72,,1
3,000020,88,Schwarzach-St.Veit Bahnhof,REX 1535,,73,,1
8,000004,89,Saalfelden Bahnhof,,,74,,1
3,000020,90,Schwarzach-St.Veit Bahnhof,REX 1550,,75,,1
3,000022,91,Salzburg Hbf,REX 1551,,76,,1
3,000020,92,Saalfelden Bahnhof,REX 1552,,77,,1
3,000022,93,Salzburg Hbf,REX 1553,,78,,1
3,000020,94,Götzendorf/Leitha Bahnhof,REX 1563,,79,,1
3,000020,95,Wien Hbf,REX 1566,,80,,1
9,000000,96,Wien Hbf,EC 158,,81,,1
3,000020,97,Wien Hbf,REX 1581,,82,,1
3,000020,98,Wien Hbf,REX 1583,,83,,1
3,000020,99,Wien Hbf,REX 1585,,84,,1
3,000020,100,Wien Hbf,REX 1587,,85,,1
10,000020,101,Graz Hbf,,,86,,1
11,000020,102,Graz Hbf,,,86,,1
12,000020,103,Mürzzuschlag Bahnhof,,,87,,1
13,000020,104,Mürzzuschlag Bahnhof,,,87,,1
10,000020,105,Mürzzuschlag Bahnhof,,,87,,1
10,000020,106,Spielfeld-Straß Bahnhof,,,88,,1
11,000020,107,Spielfeld-Straß Bahnhof,,,88,,1
12,000020,108,Spielfeld-Straß Bahnhof,,,88,,1
10,000022,109,Graz Hbf,,,89,,1
11,000022,110,Graz Hbf,,,89,,1
3,000020,111,Mürzzuschlag Bahnhof,REX 1598,,90,,1
3,000020,112,Wien Westbahnhof,REX 1601,,91,,1
3,000000,113,St.Pölten Hbf,REX 1602,,92,,1
3,000000,114,Wien Westbahnhof,REX 1603,,93,,1
3,000022,115,St.Pölten Hbf,REX 1604,,94,,1
3,000022,116,Wien Westbahnhof,REX 1605,,95,,1
3,000000,117,St.Pölten Hbf,REX 1606,,96,,1
3,000000,118,Wien Westbahnhof,REX 1607,,97,,1
3,000022,119,St.Pölten Hbf,REX 1608,,98,,1
3,000022,120,Wien Westbahnhof,REX 1609,,99,,1
3,000000,121,St.Pölten Hbf,REX 1610,,100,,1
3,000000,122,Wien Westbahnhof,REX 1611,,101,,1
3,000022,123,St.Pölten Hbf,REX 1612,,102,,1
3,000022,124,Wien Westbahnhof,REX 1613,,103,,1
3,000000,125,St.Pölten Hbf,REX 1614,,104,,1
3,000000,126,Wien Westbahnhof,REX 1615,,105,,1
3,000022,127,Wien Westbahnhof,REX 1617,,106,,1
3,000000,128,St.Pölten Hbf,REX 1618,,107,,1
3,000000,129,Wien Westbahnhof,REX 1619,,108,,1
3,000000,130,St.Pölten Hbf,REX 1622,,109,,1
3,000000,131,Wien Westbahnhof,REX 1623,,110,,1
3,000000,132,St.Pölten Hbf,REX 1626,,111,,1
3,000000,133,Wien Westbahnhof,REX 1627,,112,,1
3,000020,134,St.Pölten Hbf,REX 1628,,113,,1
3,000000,135,St.Pölten Hbf,REX 1630,,114,,1
3,000000,136,Wien Westbahnhof,REX 1631,,115,,1
3,000020,137,St.Pölten Hbf,REX 1632,,116,,1
3,000020,138,Wien Westbahnhof,REX 1633,,117,,1
3,000000,139,St.Pölten Hbf,REX 1634,,118,,1
3,000000,140,Wien Westbahnhof,REX 1635,,119,,1
3,000020,141,St.Pölten Hbf,REX 1636,,120,,1
3,000020,142,Wien Westbahnhof,REX 1637,,121,,1
3,000000,143,St.Pölten Hbf,REX 1638,,122,,1
3,000000,144,Wien Westbahnhof,REX 1639,,123,,1
3,000020,145,St.Pölten Hbf,REX 1640,,124,,1
3,000020,146,Wien Westbahnhof,REX 1641,,125,,1
3,000000,147,St.Pölten Hbf,REX 1642,,126,,1
3,000000,148,Wien Westbahnhof,REX 1643,,127,,1
3,000020,149,St.Pölten Hbf,REX 1644,,128,,1
3,000020,150,Wien Westbahnhof,REX 1645,,129,,1
3,000000,151,St.Pölten Hbf,REX 1646,,130,,1
3,000000,152,Wien Westbahnhof,REX 1647,,131,,1
3,000020,153,St.Pölten Hbf,REX 1648,,132,,1
3,000020,154,Wien Westbahnhof,REX 1649,,133,,1
3,000000,155,St.Pölten Hbf,REX 1650,,134,,1
3,000000,156,Wien Westbahnhof,REX 1651,,135,,1
3,000020,157,St.Pölten Hbf,REX 1652,,136,,1
3,000020,158,Wien Westbahnhof,REX 1653,,137,,1
3,000000,159,St.Pölten Hbf,REX 1654,,138,,1
3,000000,160,Wien Westbahnhof,REX 1655,,139,,1
3,000020,161,St.Pölten Hbf,REX 1656,,140,,1
3,000020,162,Wien Westbahnhof,REX 1657,,141,,1
3,000000,163,St.Pölten Hbf,REX 1658,,142,,1
3,000000,164,Wien Westbahnhof,REX 1659,,143,,1
3,000020,165,St.Pölten Hbf,REX 1660,,144,,1
3,000020,166,Wien Westbahnhof,REX 1661,,145,,1
3,000000,167,St.Pölten Hbf,REX 1662,,146,,1
3,000000,168,Wien Westbahnhof,REX 1663,,147,,1
3,000020,169,Wien Westbahnhof,REX 1665,,148,,1
3,000000,170,St.Pölten Hbf,REX 1666,,149,,1
3,000000,171,Wien Westbahnhof,REX 1667,,150,,1
3,000000,172,St.Pölten Hbf,REX 1668,,151,,1
3,000000,173,St.Pölten Hbf,REX 1670,,152,,1
3,000000,174,Wien Westbahnhof,REX 1671,,153,,1
3,000000,175,St.Pölten Hbf,REX 1672,,154,,1
3,000004,176,Amstetten NÖ Bahnhof,REX 1674,,155,,1
3,000000,177,Wien Westbahnhof,REX 1675,,156,,1
3,000022,178,Linz/Donau Hbf,REX 1683,,157,,1
3,000022,179,Linz/Donau Hbf,REX 1685,,158,,1
3,000022,180,Salzburg Hbf,REX 1686,,159,,1
14,000022,181,Linz/Donau Hbf,,,160,,1
15,000022,182,Linz/Donau Hbf,,,160,,1
16,000020,183,Unzmarkt Bahnhof,,,161,,1
16,000020,184,Marein-St.Lorenzen Bahnhof,,,162,,1
10,000020,185,Marein-St.Lorenzen Bahnhof,,,162,,1
3,000022,186,Unzmarkt Bahnhof,REX 1703,,163,,1
16,000020,187,Mürzzuschlag Bahnhof,,,164,,1
10,000020,188,Mürzzuschlag Bahnhof,,,164,,1
16,000004,189,Bruck/Mur Bahnhof,,,165,,1
10,000022,190,Friesach in Ktn Bahnhof,,,166,,1
16,000022,191,Friesach in Ktn Bahnhof,,,166,,1
