trip_id,direction,Graz Hbf,Bruck/Mur Bahnhof,Kapfenberg Bahnhof,Mürzzuschlag Bahnhof,Semmering Bahnhof,Wr.Neustadt Hbf,Wien Meidling Bahnhof,Wien Hbf
14,1,20:33:00,19:58:00,19:52:00,19:30:00,19:15:00,18:32:00,18:05:00,17:58:00
96,0,11:26:00,12:03:00,12:11:00,12:33:00,-,13:32:00,13:57:00,14:02:00
114,1,08:33:00,07:58:00,07:52:00,07:30:00,-,06:32:00,06:05:00,05:58:00
115,1,09:33:00,08:58:00,08:52:00,08:30:00,-,07:32:00,07:05:00,06:58:00
116,0,07:26:00,08:03:00,08:11:00,08:33:00,08:47:00,09:32:00,09:57:00,10:12:00
183,0,09:26:00,10:03:00,10:11:00,10:33:00,-,11:32:00,11:57:00,12:12:00
202,1,12:33:00,11:58:00,11:52:00,11:30:00,11:15:00,10:32:00,10:05:00,09:58:00
43,1,14:33:00,13:58:00,13:52:00,13:30:00,13:15:00,12:32:00,12:05:00,11:58:00
70,0,13:26:00,14:03:00,14:11:00,14:33:00,-,15:32:00,15:57:00,16:12:00
76,1,16:33:00,15:58:00,15:52:00,15:30:00,-,14:32:00,14:05:00,13:58:00
123,0,15:26:00,16:03:00,16:11:00,16:33:00,16:47:00,17:32:00,17:57:00,18:12:00
149,0,17:26:00,18:03:00,18:11:00,18:33:00,18:47:00,19:32:00,19:57:00,20:12:00
152,1,20:33:00,19:58:00,19:52:00,19:30:00,19:15:00,18:32:00,18:05:00,17:58:00
17,0,20:26:00,21:03:00,21:11:00,21:33:00,-,22:32:00,22:57:00,23:02:00
18,0,21:26:00,22:03:00,22:11:00,22:33:00,-,23:32:00,23:57:00,24:02:00
19,1,24:33:00,23:58:00,23:52:00,23:30:00,-,22:32:00,22:05:00,21:58:00
20,1,04:33:00,03:58:00,03:52:00,03:30:00,-,02:32:00,02:05:00,01:58:00
144,0,05:28:00,06:05:00,06:12:00,06:34:00,-,07:30:00,07:57:00,08:10:00
145,1,22:33:00,21:58:00,21:52:00,21:30:00,-,20:32:00,20:05:00,19:58:00
204,1,18:39:00,17:58:00,17:52:00,17:30:00,-,16:32:00,16:05:00,15:58:00
205,1,18:39:00,17:58:00,17:52:00,17:30:00,-,16:32:00,16:05:00,15:58:00
232,0,19:26:00,20:03:00,20:11:00,20:33:00,-,21:32:00,21:57:00,22:02:00
233,0,19:26:00,20:03:00,20:11:00,20:33:00,-,21:32:00,21:57:00,22:02:00
234,1,10:39:00,09:58:00,09:52:00,09:30:00,09:15:00,08:32:00,08:05:00,07:58:00
235,1,10:39:00,09:58:00,09:52:00,09:30:00,09:15:00,08:32:00,08:05:00,07:58:00
236,1,18:39:00,17:58:00,17:52:00,17:30:00,-,16:32:00,16:05:00,15:58:00
237,1,18:39:00,17:58:00,17:52:00,17:30:00,-,16:32:00,16:05:00,15:58:00
241,0,10:26:00,11:03:00,11:11:00,11:33:00,11:47:00,12:32:00,12:57:00,13:10:00
242,1,17:33:00,16:58:00,16:52:00,16:30:00,16:15:00,15:32:00,15:05:00,14:58:00
243,1,17:33:00,16:58:00,16:52:00,16:30:00,16:15:00,15:32:00,15:05:00,14:58:00
137,0,14:26:00,15:03:00,15:11:00,15:33:00,15:47:00,16:32:00,16:57:00,17:10:00
138,1,21:33:00,20:58:00,20:52:00,20:30:00,-,19:32:00,19:05:00,18:58:00
139,1,21:33:00,20:58:00,20:52:00,20:30:00,-,19:32:00,19:05:00,18:58:00
140,0,16:26:00,17:03:00,17:11:00,17:33:00,17:47:00,18:32:00,18:57:00,19:10:00
141,1,23:33:00,22:58:00,22:52:00,22:30:00,-,21:32:00,21:05:00,20:58:00
142,0,18:26:00,19:03:00,19:11:00,19:33:00,-,20:32:00,20:57:00,21:10:00
112,1,11:33:00,10:58:00,10:52:00,10:30:00,10:15:00,09:32:00,09:05:00,08:58:00
113,1,11:33:00,10:58:00,10:52:00,10:30:00,10:15:00,09:32:00,09:05:00,08:58:00
114,0,06:26:00,07:03:00,07:11:00,07:33:00,07:47:00,08:32:00,08:57:00,09:10:00
115,1,13:33:00,12:58:00,12:52:00,12:30:00,-,11:32:00,11:05:00,10:58:00
116,0,08:26:00,09:03:00,09:11:00,09:33:00,09:47:00,10:32:00,10:57:00,11:10:00
117,1,15:33:00,14:58:00,14:52:00,14:30:00,-,13:32:00,13:05:00,12:58:00
218,0,12:26:00,13:03:00,13:11:00,13:33:00,13:47:00,14:32:00,14:57:00,15:10:00
219,1,19:33:00,18:58:00,18:52:00,18:30:00,18:15:00,17:32:00,17:05:00,16:58:00
220,1,19:33:00,18:58:00,18:52:00,18:30:00,18:15:00,17:32:00,17:05:00,16:58:00
